Player,Pos,Age,90s,SCA,SCA90,PassLive,PassDead,TO,Sh,Fld,Def,GCA,GCA90,PassLive,PassDead,TO,Sh,Fld,Def,Matches,-9999
Emiliano Martínez,GK,29,7.7,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches,7956236f
Lionel Messi,FW,34,7.7,43,6.14,28,5,3,1,5,1,5,0.71,4,0,1,0,0,0,Matches,d70ce98e
Nicolás Otamendi,DF,34,7.7,4,0.57,3,0,0,0,0,1,1,0.14,1,0,0,0,0,0,Matches,0d267745
Rodrigo De Paul,MF,28,6.7,19,2.85,17,0,0,1,0,1,0,0.00,0,0,0,0,0,0,Matches,162efffd
Nahuel Molina,DF,24,6.3,10,1.59,9,0,0,0,0,1,2,0.32,2,0,0,0,0,0,Matches,23610943
Alexis Mac Allister,MF,23,6.1,16,2.77,16,0,0,0,0,0,2,0.35,2,0,0,0,0,0,Matches,83d074ff
Cristian Romero,DF,24,6.1,3,0.52,2,1,0,0,0,0,1,0.17,0,1,0,0,0,0,Matches,a3d94a58
Enzo Fernández,MF,21,6.3,17,3.04,15,0,2,0,0,0,4,0.71,3,0,1,0,0,0,Matches,5ff4ab71
Julián Álvarez,FW,22,5.2,10,1.94,7,0,0,2,1,0,2,0.39,1,0,0,0,1,0,Matches,15ab5a2b
Marcos Acuña,DFFW,30,4.1,7,1.84,4,2,0,0,1,0,1,0.26,0,0,0,0,1,0,Matches,81442ecb
Ángel Di María,MFFW,34,3.2,21,6.77,16,3,1,0,1,0,4,1.29,2,0,1,0,1,0,Matches,19cda00b
Nicolás Tagliafico,DF,29,4.1,4,1.05,3,0,0,0,0,1,0,0.00,0,0,0,0,0,0,Matches,f0661424
Lisandro Martínez,DF,24,3.4,2,0.59,0,0,0,1,0,1,0,0.00,0,0,0,0,0,0,Matches,bac46a10
Lautaro Martínez,FW,24,2.7,7,3.26,3,0,0,4,0,0,1,0.47,0,0,0,1,0,0,Matches,f7036e1c
Leandro Paredes,MF,27,2.5,7,3.58,5,1,0,0,1,0,2,1.02,1,0,0,0,1,0,Matches,dff153a4
Papu Gómez,MFFW,34,1.2,1,0.84,0,0,0,0,1,0,0,0.00,0,0,0,0,0,0,Matches,6e4df551
Gonzalo Montiel,DFMF,25,1.3,3,3.70,2,1,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches,374d5158
Guido Rodríguez,MF,28,0.6,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches,34e393f2
Germán Pezzella,DF,30,0.7,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches,8c725b43
Exequiel Palacios,MFDF,23,0.6,3,5.40,2,0,0,0,0,1,0,0.00,0,0,0,0,0,0,Matches,e82adcab
Paulo Dybala,FW,28,0.2,1,5.29,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches,e0921a4f
Thiago Almada,MF,21,0.1,1,12.86,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches,27f33438
Ángel Correa,MF,27,0.1,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches,01eb744d
Juan Foyth,DF,24,0.1,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches,6c7762c3
Squad Total,,27.5,7.7,179,23.35,134,13,6,9,10,7,25,3.26,16,1,3,1,4,0,,-9999
Opponent Total,,27.5,7.7,76,9.91,47,10,4,4,10,1,11,1.43,6,1,0,2,2,0,,-9999
