Player,Pos,Age,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xAG,xA,A-xAG,KP,1/3,PPA,CrsPA,PrgP,Matches,-9999
Emiliano Martínez,GK,29,7.7,120,187,64.2,2830,1864,33,33,100.0,62,62,100.0,24,89,27.0,0,0.0,0.0,0.0,0,1,0,0,0,Matches,7956236f
Lionel Messi,FW,34,7.7,300,371,80.9,4533,1561,170,182,93.4,93,110,84.5,27,47,57.4,3,2.5,1.9,+0.5,21,38,18,0,66,Matches,d70ce98e
Nicolás Otamendi,DF,34,7.7,532,577,92.2,8827,2913,236,250,94.4,266,284,93.7,25,35,71.4,1,0.2,0.2,+0.8,2,20,0,0,34,Matches,0d267745
Rodrigo De Paul,MF,28,6.7,470,562,83.6,6949,1446,281,306,91.8,164,192,85.4,18,38,47.4,0,0.3,0.4,-0.3,7,35,7,1,37,Matches,162efffd
Nahuel Molina,DF,24,6.3,291,358,81.3,3912,1346,188,221,85.1,77,94,81.9,16,23,69.6,1,0.3,0.3,+0.7,3,17,3,1,15,Matches,23610943
Alexis Mac Allister,MF,23,6.1,234,265,88.3,3274,548,147,162,90.7,69,76,90.8,9,13,69.2,1,0.9,0.6,+0.1,8,12,6,0,24,Matches,83d074ff
Cristian Romero,DF,24,6.1,337,375,89.9,5417,2110,175,186,94.1,137,151,90.7,21,30,70.0,0,0.0,0.0,0.0,0,12,0,0,15,Matches,a3d94a58
Enzo Fernández,MF,21,6.3,412,471,87.5,6639,1694,209,230,90.9,157,175,89.7,33,45,73.3,1,0.9,0.8,+0.1,6,43,9,1,34,Matches,5ff4ab71
Julián Álvarez,FW,22,5.2,93,121,76.9,1169,132,61,72,84.7,18,25,72.0,5,6,83.3,0,0.1,0.7,-0.1,2,2,2,1,5,Matches,15ab5a2b
Marcos Acuña,DFFW,30,4.1,167,217,77.0,2683,679,97,113,85.8,60,73,82.2,9,21,42.9,0,0.3,0.4,-0.3,5,9,2,0,13,Matches,81442ecb
Ángel Di María,MFFW,34,3.2,129,167,77.2,2059,474,73,77,94.8,42,52,80.8,10,23,43.5,1,0.6,0.7,+0.4,10,3,11,3,20,Matches,19cda00b
Nicolás Tagliafico,DF,29,4.1,146,179,81.6,2006,518,99,110,90.0,40,47,85.1,5,12,41.7,0,0.2,0.2,-0.2,2,6,1,0,8,Matches,f0661424
Lisandro Martínez,DF,24,3.4,133,156,85.3,2311,821,63,70,90.0,57,64,89.1,13,21,61.9,0,0.7,0.0,-0.7,1,11,1,0,6,Matches,bac46a10
Lautaro Martínez,FW,24,2.7,47,63,74.6,579,21,33,40,82.5,11,15,73.3,1,1,100.0,0,0.0,0.0,0.0,1,0,0,0,0,Matches,f7036e1c
Leandro Paredes,MF,27,2.5,230,246,93.5,3710,1331,109,113,96.5,104,110,94.5,12,16,75.0,0,0.0,0.1,0.0,2,18,1,0,14,Matches,dff153a4
Papu Gómez,MFFW,34,1.2,53,60,88.3,671,74,40,43,93.0,11,12,91.7,2,2,100.0,0,0.0,0.0,0.0,0,2,0,0,5,Matches,6e4df551
Gonzalo Montiel,DFMF,25,1.3,69,81,85.2,954,310,39,42,92.9,26,28,92.9,1,3,33.3,0,0.3,0.3,-0.3,3,4,0,0,4,Matches,374d5158
Guido Rodríguez,MF,28,0.6,54,64,84.4,871,342,30,33,90.9,19,24,79.2,4,6,66.7,0,0.0,0.0,0.0,0,2,0,0,1,Matches,34e393f2
Germán Pezzella,DF,30,0.7,42,45,93.3,628,234,22,22,100.0,20,21,95.2,0,1,0.0,0,0.0,0.0,0.0,0,1,0,0,2,Matches,8c725b43
Exequiel Palacios,MFDF,23,0.6,25,28,89.3,251,108,16,17,94.1,4,4,100.0,0,1,0.0,0,0.1,0.1,-0.1,1,5,1,0,3,Matches,e82adcab
Paulo Dybala,FW,28,0.2,8,12,66.7,100,35,4,7,57.1,3,4,75.0,0,0,,0,0.2,0.1,-0.2,1,0,1,0,2,Matches,e0921a4f
Thiago Almada,MF,21,0.1,13,13,100.0,207,26,5,5,100.0,7,7,100.0,0,0,,0,0.2,0.1,-0.2,1,0,1,0,2,Matches,27f33438
Ángel Correa,MF,27,0.1,3,3,100.0,32,17,2,2,100.0,1,1,100.0,0,0,,0,0.0,0.0,0.0,0,0,0,0,0,Matches,01eb744d
Juan Foyth,DF,24,0.1,3,4,75.0,31,13,3,3,100.0,0,1,0.0,0,0,,0,0.0,0.0,0.0,0,0,0,0,0,Matches,6c7762c3
Squad Total,,27.5,7.7,3911,4625,84.6,60643,18617,2135,2339,91.3,1448,1632,88.7,235,433,54.3,8,7.7,7.0,+0.3,76,241,64,7,310,,-9999
Opponent Total,,27.5,7.7,2713,3461,78.4,48572,16479,1185,1346,88.0,1149,1358,84.6,298,538,55.4,4,2.5,2.5,+1.5,29,179,26,9,214,,-9999
