Date,Time,Round,Day,Venue,Result,GF,GA,Opponent,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xAG,xA,KP,1/3,PPA,CrsPA,PrgP,Match Report
2022-11-22,13:00 (05:00),Group stage,Tue,Neutral,L,1,2,sa Saudi Arabia,546,659,82.9,9010,2707,274,306,89.5,222,252,88.1,44,69,63.8,0,1.3,1.0,11,34,13,3,46,Match Report
2022-11-26,22:00 (14:00),Group stage,Sat,Neutral,W,2,0,mx Mexico,471,568,82.9,7122,2141,250,277,90.3,187,215,87.0,22,49,44.9,2,0.2,0.4,4,27,2,1,29,Match Report
2022-11-30,22:00 (14:00),Group stage,Wed,Neutral,W,2,0,pl Poland,827,911,90.8,12434,3149,477,502,95.0,280,311,90.0,47,61,77.0,2,2.0,1.7,17,68,17,3,72,Match Report
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-12-03,22:00 (14:00),Round of 16,Sat,Neutral,W,2,1,au Australia,635,729,87.1,10050,2747,342,370,92.4,261,286,91.3,28,49,57.1,1,0.9,0.6,11,39,8,0,39,Match Report
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-12-09,22:00 (14:00),Quarter-finals,Fri,Neutral,D,2 (4),2 (3),nl Netherlands,526,642,81.9,8133,2755,273,309,88.3,208,232,89.7,28,68,41.2,1,1.0,0.9,11,19,10,0,39,Match Report
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-12-13,22:00 (14:00),Semi-finals,Tue,Neutral,W,3,0,hr Croatia,352,427,82.4,5311,2163,203,222,91.4,102,117,87.2,27,54,50.0,1,0.9,1.1,7,23,6,0,22,Match Report
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-12-18,18:00 (10:00),Final,Sun,Neutral,D,3 (4),3 (2),fr France,554,689,80.4,8583,2955,316,353,89.5,188,219,85.8,39,83,47.0,1,1.5,1.5,15,31,8,0,63,Match Report
,,,,,4-2-1,15,8,,3911,4625,84.6,60643,18617,2135,2339,91.3,1448,1632,88.7,235,433,54.3,8,7.8,7.0,76,241,64,7,310,
About FBref.com
