Date,Time,Round,Day,Venue,Result,GF,GA,Opponent,Poss,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR,Match Report
2022-11-22,13:00 (05:00),Group stage,Tue,Neutral,L,1,2,sa Saudi Arabia,69,752,40,228,371,156,23,751,14,6,42.9,6,42.9,515,2385,1225,18,7,3,9,12,539,45,Match Report
2022-11-26,22:00 (14:00),Group stage,Sat,Neutral,W,2,0,mx Mexico,58,669,46,193,346,135,7,669,27,10,37.0,9,33.3,448,2267,1033,21,16,3,14,9,468,29,Match Report
2022-11-30,22:00 (14:00),Group stage,Wed,Neutral,W,2,0,pl Poland,73,1004,26,131,550,329,45,1003,15,6,40.0,7,46.7,784,3738,1943,40,30,13,11,10,823,70,Match Report
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-12-03,22:00 (14:00),Round of 16,Sat,Neutral,W,2,1,au Australia,60,833,62,249,409,181,23,833,9,3,33.3,5,55.6,571,2505,1210,15,16,5,16,6,631,39,Match Report
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-12-09,22:00 (14:00),Quarter-finals,Fri,Neutral,D,2 (4),2 (3),nl Netherlands,48,758,65,195,403,167,21,757,14,7,50.0,3,21.4,509,2596,1378,26,24,1,14,15,518,37,Match Report
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-12-13,22:00 (14:00),Semi-finals,Tue,Neutral,W,3,0,hr Croatia,40,544,48,163,275,114,14,543,15,5,33.3,6,40.0,344,1621,796,18,12,2,8,13,352,22,Match Report
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-12-18,18:00 (10:00),Final,Sun,Neutral,D,3 (4),3 (2),fr France,54,848,66,264,373,220,28,847,24,8,33.3,10,41.7,523,2667,1242,26,14,8,27,16,549,63,Match Report
,,,,,4-2-1,15,8,,57.4,5408,353,1423,2727,1302,161,5403,118,45,38.1,46,39.0,3694,17779,8827,164,119,35,99,81,3880,305,
