Date,Time,Round,Day,Venue,Result,GF,GA,Opponent,Gls,Sh,SoT,SoT%,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Match Report
2022-11-22,13:00 (05:00),Group stage,Tue,Neutral,L,1,2,sa Saudi Arabia,1,14,5,35.7,0.00,0.00,16.4,1,1,1,2.2,1.4,0.11,-1.2,-1.4,Match Report
2022-11-26,22:00 (14:00),Group stage,Sat,Neutral,W,2,0,mx Mexico,2,5,2,40.0,0.40,1.00,21.1,1,0,0,0.3,0.3,0.06,+1.7,+1.7,Match Report
2022-11-30,22:00 (14:00),Group stage,Wed,Neutral,W,2,0,pl Poland,2,22,10,45.5,0.09,0.20,16.8,0,0,1,3.5,2.9,0.13,-1.5,-0.9,Match Report
,,,,,,,,,,,,,,,,,,,,,,,,
2022-12-03,22:00 (14:00),Round of 16,Sat,Neutral,W,2,1,au Australia,2,14,5,35.7,0.14,0.40,16.9,0,0,0,1.6,1.6,0.12,+0.4,+0.4,Match Report
,,,,,,,,,,,,,,,,,,,,,,,,
2022-12-09,22:00 (14:00),Quarter-finals,Fri,Neutral,D,2 (4),2 (3),nl Netherlands,2,13,4,30.8,0.08,0.25,21.9,1,1,1,1.9,1.1,0.09,+0.1,-0.1,Match Report
,,,,,,,,,,,,,,,,,,,,,,,,
2022-12-13,22:00 (14:00),Semi-finals,Tue,Neutral,W,3,0,hr Croatia,3,8,6,75.0,0.25,0.33,17.9,0,1,1,2.3,1.5,0.19,+0.7,+0.5,Match Report
,,,,,,,,,,,,,,,,,,,,,,,,
2022-12-18,18:00 (10:00),Final,Sun,Neutral,D,3 (4),3 (2),fr France,3,19,9,47.4,0.11,0.22,19.2,0,1,1,3.2,2.4,0.13,-0.2,-0.4,Match Report
,,,,,4-2-1,15,8,,15,95,41,43.2,0.12,0.27,18.2,3,4,5,15.1,11.3,0.12,-0.1,-0.3,
